number,comments,star
0,赞,1.0
1,还行吧=_=夹心年糕不错,1.0
2,好吃，老板人很好，弄菜的小哥哥也很棒，很勤快，吃的很开心,1.0
3,好评，去过好多次了，每次都吃不完，炸鸡还能打包回去 #芝士年糕锅# #甜辣酱炸鸡#,1.0
4,今天是第一次吃，孩子想吃就买了张团购68元的，可能去的比较晚，上菜还是很快的，炒饭和图片的不一样换了一个小的盘子没有摆造型什么的也无所谓，就是觉得这个火锅有点不值原价88元的，锅里就是白菜，土豆，洋葱，方便面，中间放了几块鸡肉，吃完就觉得吃了一锅素菜，可能吃不惯韩国食物欣赏不来呀。,-1.0
5,这能叫炸鸡？？？难吃得一塌糊涂 之前美团的评价都是托骗人的吧 打扰了浪费76块钱还不如去楼下吃小吃,-1.0
6,两人套餐不错，比较喜欢吃芝士年糕火锅。这一次吃了排骨，没有感觉中那么好吃。个人推荐二人餐,0.0
7,一进店，所有员工都在耍手机，还是有那个一个人问了句几个人？～但之后就再也没人来接待🙃。没关系。我可以自己去收银台拿菜单，但前台的人好歹在我咨询的时候回复一下吧？一直埋头耍手机，问了好几声，没理＋没听见。第一个接待的人看到我有点冒火了就用中文！还是重庆话！让我坐在座位上看🙃老板来了。我表示了我的不满，老板解释说:他们是韩国人（第一个接待的人＋前台），听不懂重庆话，你们来的时候恰好中国员工进厨房没法来接待你们？！如果是中国员工听到你说的话没理你的话我肯定会说他的。呵呵，***当我眼瞎耳聋啊？跟我说重庆话的人是个鬼啊🙃明明是耍手机太入神了面前站个人完全不知道，说话也听不到～员工这样态度，老板也是个拽拽的态度，没有想着跟顾客道个歉，反而一直为员工开拓🙃说完后，员工继续耍他的手机，老板可能也加入了他们的阵营了吧🙃后续:我的同行人员给我讲她看到厨房里的人叼着跟烟在给我们做菜🙃就当没有证据吧，***再也不的来德本家了，希望各位也搽亮双眼！,-1.0
8,说真的，真的不好吃，里面基本上白菜。不值这个价。而且端上来的锅，里面有头发。店里卫生条件也特别不好，锅一端上来，就有小虫子在锅里爬。不过服务态度还是可以的，卖家最后把有问题的锅换了的。,-1.0
9,可能是我团购的68元双人餐 里面的白菜很少 味道也没有88元的好吃 整体一般吧,-1.0
10,不得不说，真的有点坑，没有在其他地方吃的能个大个锅，而且炸鸡用一个纸碗给我们装，像缺碗一样,-1.0
11,一个乌龙，我团的时候没注意看这个套餐周末不可用，但是打电话咨询了一下团的二人餐，周六是否可以过来就餐，前台妹妹说可以的（她也没问我团的是哪一个套餐）。然后周六去的时候被拒绝服务，闹得很不愉快，虽然后来还是吃上了，不过总之心里不太舒服。味道还算好，服务也就那样,0.0
12,就是环境一般般，其他将就，味道一般,-1.0
13,一般吧，不是很好吃，可没是觉得没味道,0.0
14,儿子一个人能吃点双人餐，我也没看到有多少,0.0
15,味道还行,1.0
16,没有肉。 一点都没有肉。 全是白菜,-1.0
17,好  可以  嘻嘻,1.0
18,我这个表示吃不惯，喜欢掐肉的妹子会失望噢，哈哈😄,-1.0
19,一锅火锅再一份炒饭，加一碗米饭，两个人吃刚刚好，团购便宜，过年都没打烊的，老板们相互之间交流都说的韩语，汉语交流也无障碍，吃的美味，服务态度真的一级棒，老板和服务员素质都很高，总之就是很满意。,1.0
20,味道还行  喜欢夹心年糕  芝士也很不错,0.0
21,还将就吧，两个人分量够了。就是看个人口味喜不喜欢韩味。,0.0
22,还可以吧  白菜非常好吃牛肉也不错,0.0
23,服务态度不好，很不耐烦，而且很辣.86吃了一锅白菜。,-1.0
24,还行吧，味道可以，就是分量没得以前多了，服务员态度一般,0.0
25,这一次味道没有以前好，服务业态度也不是特别好。这次体验有点差。,0.0
26,首先服务员态度一般，到店了八台没得人，我都站哪里哈起。其次上菜块，没有排队，菜品看着卖相还不错，，，，，吃这还是有辣味，但是跟重庆的辣椒味道是完全不一样的。。。看着干干的一盆，煮了不一会就很多水出来了，整体感觉就是来吃了一盆方便面加白菜😂,1.0
27,还不错，价格实惠，味道也不错，就是分量较少,0.0
28,很好吃，还想在吃,1.0
29,还不错,1.0
30,现在越来越坑了！ 团购的态度不好，份量也少，和不是团购的明显差别大  ，反正没以前好了，不会再来,-1.0
31,真的敲好吃，服务态度也很好，一直帮煮呢，特别是戴眼镜的韩国大叔，萌萌哒,1.0
32,还可以,1.0
33, #牛肉锅# #特色炒饭# #辛拉面# #辣白菜#,1.0
34,味道还可以，就是分量比较少，适合两个人吃，芝士好吃,1.0
35,主食差，菜品分量太大，不好吃，味道怪怪的,-1.0
36, #辣白菜#,1.0
37,曾经沧海难为水，除却巫山不是云,-1.0
38,年糕火锅都还好吃，就是3个人吃量不太够,1.0
39,好吃,1.0
40,难吃的飞起来，服务员态度差，爱理不理要喊几次，真的难吃的要吐，就把泡面吃了。,-1.0
41,好久没去吃这家了 生意不如原来了 不知道为什么 今天感觉比原来要辣些了 分量还是很足 建议每锅都加份芝士 口感要好很多 炸鸡感觉没有原来酥了  既然用那种打包盒来装 感觉顺便low了太多 还没吃过饭朋友还是可以去尝试一下哈,1.0
42,还不错,1.0
43,方便面，放点包包菜，可以卖88，不懂韩国棒子,-1.0
44,韩国空运食材，味道超赞，韩国菜只吃德本家👍👍,1.0
45,好吃,1.0
46,可以,1.0
47,可以,1.0
48,不知道为什么觉得不是特别好吃，便宜吧,0.0
49,"韩国火锅明明是双人套餐，感觉一个人都吃不饱，高价的一锅大白菜",-1.0
50,和朋友一起去的，我觉得没以前好吃了,-1.0
51,一如既往的好，经常经常来，很是喜欢了哟哟哟哟哈哈哈哈哈哈哈哈,1.0
52,还可以,1.0
53,味道差 不正宗，服务差，菜品少。,-1.0
54,最爱吃这个了！一个人都可以吃一锅,1.0
55,味道还可以，但是量一般，位置挺好找的,-1.0
56,感觉不如以前好吃。并且服务也不是很热情。,-1.0
57,味道挺好的 德本家都差不多 很大的锅 货真价实的比较少啦,1.0
58,味道还可以吧 比较正宗韩国口味 情人节给我带来好运,0.0
59,挺好的,1.0
60,吃的简直搞笑，韩国火锅居然没芝士,-1.0
61,还可以，团了一个火锅，加的包饭,0.0
62,味道可以，就是有点辣,1.0
63,真心不错，赞\(≧▽≦)/,1.0
64,第二次来吃了 反正....还不赖,0.0
65,营养好味道好，服务也不错，3个人吃的很饱，下回还来。,1.0
66,很不错因为想吃年糕就选了这家，味道还是很不错，而且那边的姐姐会帮忙煮，服务也挺好的。后来我们点了分炸鸡，味道很好，男朋友很喜欢吃，后来没吃完，我们就叫服务员帮忙将我们的东西打包，那姐姐也很热心，很不错。,1.0
67,不错 下次可以光顾 值得推荐,1.0
68,德本家的老顾客了！一直喜欢去那里吃！感觉很不错！,1.0
69,芝士很好吃，但是好多白菜，配菜都是白菜,0.0
70,年糕分量也不是特别多 一个大锅里大部分都是白菜 两个人其实是吃炸鸡吃的快饱了 也挺辣的,0.0
71,挺不错的 来吃过很多次 当天过节 还送了一瓶可爱得小酒 不错不错,1.0
72,当时就是特别想去尝试一下感觉，去了服务态度还可以  就是真的感觉有点少，面也只有一半，白菜真的多😂😂但是~但是~最后上的那个炸鸡真的炒鸡炒鸡好吃哦  完全就是大爱，，，，，，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0.0
73,一般了，没有以前量足，味道也没以前好吃了，换个地方感觉不一样了,0.0
74,很多次来吃了 味道很好 老板服务态度也很好哦,1.0
75,很好,1.0
76,就那样了。当时去得比较晚，很多东西都没有了,0.0
77,味道没变 分量也没变 可是人变少了 不知道为什么,1.0
78,一般，味道没有之前好吃，分量也没之前那么足了,0.0
79, #牛肉锅拼芝士锅# #肉肉# #平时在韩剧里面看到的火锅# #牛肉卷# #韩式炒饭#,1.0
80,就是辣着我和朋友了,1.0
81,分量很足，价格公道，值得推荐！,0.0
82,味道很好，但是没有之前辣了，不过也很好吃。团的两人餐，完全够吃，老板人也超级棒，推荐哦✨✨✨,1.0
83,专门跑过去打了个包，还可以，基本上全是肉，酸酸甜甜辣辣的,0.0
84,韩式火锅我就觉得这一家还有泰一格的好吃…泰一格的关门了…就剩这一家好吃了…别的韩式火锅吃过几次放的东西明明像中式火锅…,1.0
85,不会再去吃了！那个套餐里面的炒饭很少，又冷！感觉是别人吃剩的！,-1.0
86,和前室友一起去了好几次，很喜欢这种火锅，也很喜欢宋仲基哈哈哈,1.0
87,很辣，干辣。品种少，不推荐哈哈哈哈哈哈,-1.0
88,炸鸡还行吧 甜辣味是最受欢迎的味道,0.0
89,好吃 就是服务一般般,1.0
90,还行，店员还要过来给你煮，午餐和晚餐价格不一样，觉得吃饭后面有点辣了,0.0
